team,player_a,player_b,r,games_both,combined_mpg,combined_sd,r_pctile,name_a,name_b
MIN,203825,1630471,-0.39617871825489426,38,46.016236842105265,5.468706696776007,12.368024132730016,Kayla McBride,Maya Caldwell
MIN,203825,1642797,-0.3949439214199206,28,42.650014285714285,5.75100550530171,12.82051282051282,Kayla McBride,Anastasiia Olairi Kosu
MIN,203825,1643426,-0.0006704039730761713,36,63.14536944444444,7.297141395752935,59.42684766214178,Kayla McBride,Olivia Miles
MIN,203825,1643489,-0.4756141005087754,36,43.85695833333333,5.916217778536505,7.390648567119156,Kayla McBride,Antonia Delaere
MIN,203827,1627675,0.12207662909605646,38,59.91316578947368,6.318774964632218,76.47058823529412,Natasha Howard,Courtney Williams
MIN,203827,1628269,0.3822551350519216,38,52.64648684210527,10.139328876110602,95.32428355957768,Natasha Howard,Nia Coffey
MIN,203827,1629483,-0.19639617264616874,10,57.619989999999994,7.391759614515193,32.42835595776772,Natasha Howard,Napheesa Collier
MIN,203827,1630471,-0.2527651281031241,38,42.93465,6.0363796842841015,26.09351432880845,Natasha Howard,Maya Caldwell
MIN,203827,1642797,-0.12504113289911242,28,40.238699999999994,5.971370251892374,41.93061840120664,Natasha Howard,Anastasiia Olairi Kosu
MIN,203827,1643426,0.12408294384410459,36,60.399991666666665,6.481391732882023,76.6214177978884,Natasha Howard,Olivia Miles
MIN,203827,1643489,-0.3737401189213059,36,40.57593055555556,6.663099875618574,14.630467571644044,Natasha Howard,Antonia Delaere
MIN,1627675,1628269,0.30643325531241644,38,53.85877894736842,9.547846434644033,91.55354449472097,Courtney Williams,Nia Coffey
MIN,1627675,1629483,-0.1450073522554436,10,58.78166,9.654298414603842,38.763197586727,Courtney Williams,Napheesa Collier
MIN,1627675,1630471,-0.6856139330393425,38,44.14694210526316,3.903458285178051,1.6591251885369533,Courtney Williams,Maya Caldwell
MIN,1627675,1642797,-0.08386159819442261,28,41.493475,5.699627993554263,47.81297134238311,Courtney Williams,Anastasiia Olairi Kosu
MIN,1627675,1643426,0.0253146670526235,36,61.44074444444444,6.358144529361846,62.745098039215684,Courtney Williams,Olivia Miles
MIN,1627675,1643489,-0.14959096659910773,36,42.21714722222222,6.860496586628036,37.70739064856712,Courtney Williams,Antonia Delaere
MIN,1628269,1629483,-0.7510872016398096,10,43.66834,7.246762868757332,0.4524886877828055,Nia Coffey,Napheesa Collier
MIN,1628269,1630471,-0.09956439424709237,38,36.880263157894746,8.812109860880513,45.55052790346908,Nia Coffey,Maya Caldwell
MIN,1628269,1642797,0.3470672394653466,28,36.678575,7.476340975450739,94.11764705882352,Nia Coffey,Anastasiia Olairi Kosu
MIN,1628269,1643426,0.19204163663391868,36,54.670363888888886,8.551808981835457,82.35294117647058,Nia Coffey,Olivia Miles
MIN,1628269,1643489,-0.07162434583512294,36,34.98009722222222,9.422671817619646,49.321266968325794,Nia Coffey,Antonia Delaere
MIN,1629483,1630471,-0.07626594687795887,10,43.42666,4.503825770312759,48.717948717948715,Napheesa Collier,Maya Caldwell
MIN,1629483,1642797,-0.6544509244946546,1,28.4834,,2.564102564102564,Napheesa Collier,Anastasiia Olairi Kosu
MIN,1629483,1643426,0.2091470998645102,10,61.63499999999999,8.188675641803545,84.01206636500754,Napheesa Collier,Olivia Miles
MIN,1629483,1643489,-0.41434412219615757,8,37.520825,5.432214090234559,11.312217194570136,Napheesa Collier,Antonia Delaere
MIN,1630471,1642797,0.1889745859222852,28,24.422039285714284,8.512891322482597,82.05128205128204,Maya Caldwell,Anastasiia Olairi Kosu
MIN,1630471,1643426,-0.21999830875224116,36,44.53101388888889,5.3792403126491894,29.86425339366516,Maya Caldwell,Olivia Miles
MIN,1630471,1643489,0.22439010168227083,36,25.385658333333332,9.04693842261016,85.06787330316742,Maya Caldwell,Antonia Delaere
MIN,1642797,1643426,-0.31180222232332067,26,40.88461538461539,5.91926354869876,19.75867269984917,Anastasiia Olairi Kosu,Olivia Miles
MIN,1642797,1643489,0.6282104032573144,28,23.383946428571427,10.742597362334958,99.39668174962293,Anastasiia Olairi Kosu,Antonia Delaere
MIN,1643426,1643489,-0.665017615703705,34,41.77892352941176,4.31217728792079,1.9607843137254901,Olivia Miles,Antonia Delaere
NYL,203822,204296,0.09080734236925793,22,34.1704590909091,10.044835729281328,71.7948717948718,Rebekah Gardner,Rebecca Allen
NYL,203822,204335,0.2211358320360331,16,32.58125,10.052871064128894,84.91704374057315,Rebekah Gardner,Betnijah Laney-Hamilton
NYL,203822,1627668,-0.041787997535605005,35,47.904288571428566,6.561501075425251,53.84615384615385,Rebekah Gardner,Breanna Stewart
NYL,203822,1627673,0.049825275416053215,35,43.71619142857142,7.2007694258964,66.06334841628959,Rebekah Gardner,Jonquel Jones
NYL,203822,1629477,-0.372369438707801,23,44.013052173913046,6.866131130137631,14.781297134238311,Rebekah Gardner,Sabrina Ionescu
NYL,203822,1629546,0.19505839470025815,33,36.12375151515152,10.520194598191887,82.80542986425338,Rebekah Gardner,Marine Johannes
NYL,203822,1629566,0.0435674396597293,36,28.767608333333335,8.034551745852765,65.30920060331825,Rebekah Gardner,Han Xu
NYL,203822,1630142,-0.4126425506071711,14,41.00001428571429,4.5553116925961605,11.463046757164404,Rebekah Gardner,Leonie Fiebich
NYL,203822,1631136,0.08907024535610522,36,38.07593055555555,7.7145412880877835,71.34238310708899,Rebekah Gardner,Pauline Astier
NYL,204296,204335,-0.6597098260077001,6,20.588866666666664,6.4118964029892656,2.262443438914027,Rebecca Allen,Betnijah Laney-Hamilton
NYL,204296,1627668,0.16869450810679468,23,51.45579130434781,11.203995298306154,80.54298642533936,Rebecca Allen,Breanna Stewart
NYL,204296,1627673,-0.04339061166290289,23,47.03985217391305,9.6649732356244,53.69532428355958,Rebecca Allen,Jonquel Jones
