game_id,game_date,home_id,away_id,home_abbreviation,home_display_name,away_abbreviation,away_display_name,home_rest_days,away_rest_days,home_b2b,away_b2b,home_predictive_net_rating,season_games_played_x,home_pace,away_predictive_net_rating,season_games_played_y,away_pace,avg_pace,base_margin,rest_diff,expected_home_margin,margin_sigma,home_win_probability,away_win_probability,model_version
401857195,2026-09-18,131935,5,TOR,Toronto Tempo,IND,Indiana Fever,19,20,False,False,-11.269010549829666,35,80.203365079365085,6.4513402151189858,37,81.719459459459458,80.961412269412278,-14.346646238396032,-1,-13.196646238396031,12.096350411887235,0.13764502741233087,0.86235497258766913,v1_heuristic_margin
401857196,2026-09-18,8,9,MIN,Minnesota Lynx,NY,New York Liberty,18,19,False,False,11.258006207233164,37,79.911351351351342,4.5075405901387615,37,79.798258258258258,79.8548048048048,5.3905711419461966,-1,6.5405711419461969,12.096350411887235,0.7056449329047314,0.2943550670952686,v1_heuristic_margin
401857197,2026-09-18,129689,132052,GS,Golden State Valkyries,POR,Portland Fire,18,0,False,True,8.3995949608324434,35,74.795428571428573,-4.6644716887598872,35,79.183047619047628,76.989238095238107,10.057925377775236,2,13.007925377775235,12.096350411887235,0.85889309748770382,0.14110690251229618,v1_heuristic_margin
401857198,2026-09-19,3,11,DAL,Dallas Wings,PHX,Phoenix Mercury,1,1,False,False,0.7909013786877126,37,78.884444444444441,-3.7539753676457104,36,79.320493827160504,79.102469135802465,3.5951097255286588,0,5.0951097255286584,12.096350411887235,0.66319930872768562,0.33680069127231438,v1_heuristic_margin
401857199,2026-09-19,20,19,ATL,Atlanta Dream,CHI,Chicago Sky,1,1,False,False,8.0528561640489649,36,80.560185185185176,-2.3284063387107001,36,82.344814814814811,81.452499999999986,8.4557978400603151,0,9.9557978400603151,12.096350411887235,0.79475779010961511,0.20524220989038489,v1_heuristic_margin
401857200,2026-09-19,129689,14,GS,Golden State Valkyries,SEA,Seattle Storm,0,1,True,False,8.3995949608324434,35,74.795428571428573,-6.4487833523421445,37,80.760900900900893,77.77816473616474,11.548796145069891,-1,11.948796145069892,12.096350411887235,0.83837512563178762,0.16162487436821238,v1_heuristic_margin
401857201,2026-09-20,18,8,CON,Connecticut Sun,MIN,Minnesota Lynx,2,1,False,False,-11.903707538823397,35,79.278222222222226,11.258006207233164,37,79.911351351351342,79.594786786786784,-18.435516672339606,1,-16.585516672339605,12.096350411887235,0.085169178947723745,0.9148308210522762,v1_heuristic_margin
401857202,2026-09-20,131935,9,TOR,Toronto Tempo,NY,New York Liberty,1,1,False,False,-11.269010549829666,35,80.203365079365085,4.5075405901387615,37,79.798258258258258,80.000811668811679,-12.621368965319903,0,-11.121368965319903,12.096350411887235,0.17894353188831724,0.82105646811168276,v1_heuristic_margin
401857203,2026-09-20,5,16,IND,Indiana Fever,WSH,Washington Mystics,1,2,False,False,6.4513402151189858,37,81.719459459459458,1.3418512814706698,35,77.206349206349202,79.46290433290433,4.0601483032452954,-1,5.2101483032452958,12.096350411887235,0.66666426074013008,0.33333573925986992,v1_heuristic_margin
401857204,2026-09-20,6,132052,LA,Los Angeles Sparks,POR,Portland Fire,2,1,False,False,-7.3887125928903439,36,81.676604938271609,-4.6644716887598872,35,79.183047619047628,80.429826278659618,-2.1911022266043125,1,-0.34110222660431255,12.096350411887235,0.48875180834187321,0.51124819165812685,v1_heuristic_margin
