season,entity_id_feature,entity_name_feature,sample_size_flag,detected_zone_fga_total,specialized_shooter_label,efg_pct_feature,ts_pct_feature,shotquality_pbp_feature,rim_fga_share,midrange_fga_share,three_point_fga_share,rim_and_three_fga_share
2026,1630442,Natasha Mack,Low,75.0,Low-Volume Efficient Shooter,0.7133333333333334,0.7380952380952381,0.4918486666666666,0.44,0.5333333333333333,,
2026,1631136,Pauline Astier,Low,90.0,Low-Volume Efficient Shooter,0.6222222222222222,0.6601941747572816,0.4988716666666666,0.4111111111111111,0.35555555555555557,0.23333333333333334,0.6444444444444444
2026,203828,Stefanie Dolson,Low,49.0,Low-Volume Efficient Shooter,0.5918367346938775,0.6440677966101694,0.5105469387755102,0.22448979591836735,0.2653061224489796,0.5102040816326531,0.7346938775510204
2026,1642307,Mackenzie Holmes,Low,38.0,Low-Volume Efficient Shooter,0.618421052631579,0.6477272727272727,0.5123763157894737,0.5,0.2631578947368421,0.23684210526315788,0.7368421052631579
2026,1643505,Jovana Nogic,Low,97.0,Above-Break Spacer,0.5515463917525774,0.6106194690265486,0.5106416666666667,0.15463917525773196,0.21649484536082475,0.6288659793814433,0.7835051546391752
2026,1643445,Kiki Rice,Low,75.0,Low-Volume Efficient Shooter,0.5933333333333334,0.6827956989247311,0.5612736486486487,0.4666666666666667,0.22666666666666668,0.30666666666666664,0.7733333333333333
2026,1628508,Cecilia Zandalasini,Low,51.0,Above-Break Spacer,0.5098039215686274,0.543859649122807,0.4923029411764706,0.0784313725490196,0.2941176470588235,0.6274509803921569,0.7058823529411764
2026,1629482,Sophie Cunningham,Low,68.0,Perimeter Volume Threat,0.5588235294117647,0.6153846153846154,0.5280698529411765,0.27941176470588236,0.10294117647058823,0.6176470588235294,0.8970588235294118
2026,1642792,Kiki Iriafen,Low,98.0,Low-Volume Efficient Shooter,0.5663265306122449,0.5934959349593496,0.5318726804123711,0.5816326530612245,0.2755102040816326,0.14285714285714285,0.7244897959183674
2026,1641650,Haley Jones,Low,17.0,Low-Volume Efficient Shooter,0.5882352941176471,0.6190476190476191,0.4775411764705882,0.35294117647058826,,0.1764705882352941,0.5294117647058824
2026,1641648,Aliyah Boston,Usable,109.0,Midrange Specialist,0.5504587155963303,0.6038461538461538,0.4876752293577981,0.3211009174311927,0.45871559633027525,0.22018348623853212,0.5412844036697249
2026,1642777,Monique Akoa Makani,Low,35.0,Balanced Three-Level Scorer,0.5285714285714286,0.6111111111111112,0.4907942857142857,0.14285714285714285,0.39999999999999997,0.4571428571428572,0.6000000000000001
2026,1630446,Michaela Onyenwere,Low,34.0,Low-Volume Efficient Shooter,0.6176470588235294,0.6744186046511628,0.5094058823529412,0.20588235294117646,0.20588235294117646,0.5882352941176471,0.7941176470588236
2026,1642798,Dominique Malonga,Low,60.0,Midrange Specialist,0.5083333333333333,0.5285714285714286,0.4760883333333333,0.3,0.55,0.15000000000000002,0.45
2026,1643425,Azzi Fudd,Low,80.0,Low-Volume Efficient Shooter,0.65625,0.6585365853658537,0.48495125,0.125,0.42500000000000004,0.44999999999999996,0.575
2026,1629524,Bridget Carleton,Usable,125.0,Above-Break Spacer,0.528,0.572992700729927,0.499322,0.112,0.29600000000000004,0.592,0.704
2026,1629478,Katie Lou Samuelson,Low,29.0,High-Volume Low-Efficiency Shooter,0.4482758620689655,0.453125,0.4942586206896552,0.10344827586206896,0.1724137931034483,0.7241379310344828,0.8275862068965517
2026,1643427,Lauren Betts,Low,46.0,Midrange Specialist,0.5,0.5471698113207547,0.4931804347826087,0.5217391304347826,0.47826086956521735,,
2026,1631086,Lexie Hull,Low,44.0,Low-Volume Efficient Shooter,0.5909090909090909,0.6153846153846154,0.5030693181818182,0.1590909090909091,0.22727272727272727,0.6136363636363636,0.7727272727272727
2026,1643431,Madina Okot,Low,39.0,Rim Pressure Finisher,0.5641025641025641,0.5795454545454546,0.5248948717948718,0.6410256410256411,0.25641025641025644,0.10256410256410256,0.7435897435897436
2026,1642781,Georgia Amoore,Low,55.0,High-Volume Low-Efficiency Shooter,0.4181818181818181,0.4758064516129032,0.5164009090909091,0.14545454545454545,0.16363636363636364,0.6909090909090909,0.8363636363636364
2026,1631055,Nyara Sabally,Low,75.0,Low-Volume Efficient Shooter,0.5933333333333334,0.6193181818181818,0.5651106666666667,0.5866666666666667,0.22666666666666668,0.18666666666666665,0.7733333333333333
2026,1642815,Makayla Timpson,Low,26.0,Low-Volume Efficient Shooter,0.6153846153846154,0.6290322580645161,0.5899,0.8461538461538461,,,
2026,204333,Natasha Cloud,Low,74.0,Balanced Three-Level Scorer,0.5067567567567568,0.5523255813953488,0.5028858108108107,0.32432432432432434,0.28378378378378377,0.3918918918918919,0.7162162162162162
